strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,1.208353906472948,0.0005842532443211466,0.01025624859483034,-0.01587549405290155,-0.02377226397883067,-0.2176465717142304
Regime-based,0.8524449172737549,0.00045465069578233997,0.00815999648128177,-0.013320819196331,-0.019038219174481848,-0.21018341701722287
