strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown,sharpe_ratio,return_cvar_ratio,cost_rate,total_transaction_cost
Buy & Hold,1.208353906472948,0.0005842532443211466,0.01025624859483034,-0.01587549405290155,-0.02377226397883067,-0.2176465717142304,0.9043006940776974,50.83040923443361,0.0,0.0
Regime-based gross,0.8524449172737523,0.00045465069578233883,0.008159996481281764,-0.013320819196331,-0.019038219174481844,-0.21018341701722265,0.8844802890799303,44.775454545472364,0.0,0.0
Regime-based net of costs,0.7927241608862725,0.00043048402696214315,0.008161583874221553,-0.013390648548882406,-0.019069215993183206,-0.21612539627424776,0.8373034177776584,41.570883730597664,0.001,0.0327700029201852
