strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown,sharpe_ratio,return_cvar_ratio,cost_rate,total_transaction_cost
Buy & Hold,0.8455815616393874,0.0003799097565933274,0.01273015690812002,-0.01764151105248878,-0.03065974562059564,-0.39434324726316283,0.47374753218566484,27.579536115634607,0.0,0.0
Regime-based gross,0.5988029923033258,0.0002909207808100145,0.008765375915872167,-0.01435748640694932,-0.02080783607070693,-0.26225938620496636,0.526871210976998,28.77776383226677,0.0,0.0
Regime-based net of costs,0.5338456254110906,0.00026520648639538527,0.008765548442027019,-0.014513156878788925,-0.02084929225713628,-0.27846479199840957,0.48029196146076897,25.604975882496266,0.001,0.041477156890796965
