regime,economic_label,risk_order,n_obs,frequency_pct,mean_ret_1d,mean_ewma_vol,mean_cvar_95_60d,n_blocks,mean_duration,median_duration,max_duration
0,low_risk,1,2025,40.362766593581824,0.0005733572310938302,0.008138664330691448,-0.018436212415759167,131,15.458015267175572,4.0,273
1,medium_risk,2,2388,47.598166234801674,-0.0005524105937901943,0.014086982942152083,-0.030690811441048214,184,12.978260869565217,5.0,99
2,high_risk,3,604,12.039067171616503,-0.00013865858615421018,0.024978988941143344,-0.04744760824690676,54,11.185185185185185,6.0,73
