regime,economic_label,risk_order,n_obs,frequency_pct,mean_ret_1d,mean_ewma_vol,mean_cvar_95_60d,n_blocks,mean_duration,median_duration,max_duration
0,low_risk,1,2047,38.8130451270383,0.0005750652163726415,0.008126441938073652,-0.018403623953779272,136,15.051470588235293,4.0,273
2,medium_risk,2,2582,48.95714827455442,-0.0005729645096867857,0.014245709329724765,-0.03116319307835888,204,12.656862745098039,4.0,99
1,high_risk,3,645,12.229806598407281,-0.00016661633662439076,0.02581632353923167,-0.0517607482209373,68,9.485294117647058,4.5,70
