regime,economic_label,risk_order,target_exposure,mean_cvar_95_60d,cvar_severity_abs,cvar_low_abs,defensive_alpha,methodology
0,low_risk,1,1.0,-0.018436212415759167,0.018436212415759167,0.018436212415759167,1.0,CVaR_train_abs_ratio
1,medium_risk,2,0.6007078845462255,-0.030690811441048214,0.030690811441048214,0.018436212415759167,1.0,CVaR_train_abs_ratio
2,high_risk,3,0.38855936256726015,-0.04744760824690676,0.04744760824690676,0.018436212415759167,1.0,CVaR_train_abs_ratio
