regime,economic_label,frequency,representative_dates,relevant_historical_episodes,mean_ewma_vol,mean_cvar_95_60d,mean_drawdown,economic_interpretation
0,low_risk,40.362766593581824,2006-03-22; 2026-01-14; 2006-03-21,Inflation / monetary tightening 2022,0.0081386643306914,-0.0184362124157591,-0.30653342965679026,Low volatility and comparatively mild expected tail losses; normal market conditions.
1,medium_risk,47.59816623480168,2014-08-07; 2010-08-25; 2001-03-16,Global financial crisis 2008; Ukraine invasion 2022; Inflation / monetary tightening 2022,0.014086982942152,-0.0306908114410482,-0.36030342092525647,Intermediate volatility and tail risk; transitional or uncertain market conditions.
2,high_risk,12.039067171616503,2010-05-10; 2020-03-12; 2016-06-24,Global financial crisis 2008; COVID market shock; Ukraine invasion 2022,0.0249789889411433,-0.0474476082469067,-0.45342412708145535,"Elevated volatility, severe tail losses and deeper drawdowns; defensive market state."
