sample,event,window_start,event_date,window_end,window_rows,strategy,cumulative_return_window,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown_window,average_exposure,min_exposure,max_exposure,average_high_risk_probability,share_high_risk_days
MAIN,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,Buy & Hold,-0.03655374339320383,-0.0009082578542078395,0.017787698361119417,-0.0349220114223071,-0.03659117547876314,-0.1397222739041143,1.0,1.0,1.0,0.2662546775450908,0.2682926829268293
MAIN,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,Regime-based,-0.036554220896408696,-0.0009082699425027887,0.009064431608252675,-0.0171514711840346,-0.020055657693983,-0.07840171474274438,0.5275063881939978,0.3555517372976262,0.5905564268560006,0.2662546775450908,0.2682926829268293
MAIN,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,ML Hard Classification,-0.03305592599092777,-0.0008198687739452595,0.009151872825879278,-0.0171514711840346,-0.020055657693983,-0.07491071185589404,0.5275063881939978,0.3555517372976262,0.5905564268560006,0.25498003064146335,0.2682926829268293
MAIN,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,ML Probability-Weighted,-0.03259436695344309,-0.0008082291643418713,0.009647030369289471,-0.0179409650516994,-0.020177471953762835,-0.08143038896314547,0.5654116217922631,0.3574436114401498,0.7514454351692529,0.25498003064146335,0.2682926829268293
ROBUST,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,Buy & Hold,-0.03655374339320383,-0.0009082578542078395,0.017787698361119417,-0.0349220114223071,-0.03659117547876314,-0.1397222739041143,1.0,1.0,1.0,0.2761743109532711,0.2682926829268293
ROBUST,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,Regime-based,-0.035489092830063296,-0.0008813204408324313,0.009359457029716476,-0.0174462989534601,-0.020400407410134602,-0.08045574209785922,0.5437899884055274,0.3885593625672601,0.6007078845462255,0.2761743109532711,0.2682926829268293
ROBUST,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,ML Hard Classification,-0.031634071887812976,-0.0007840302007241485,0.009437229958364613,-0.0174462989534601,-0.020400407410134602,-0.07731187070697976,0.5386156342109185,0.3885593625672601,0.6007078845462255,0.28777131677073176,0.2926829268292683
ROBUST,Russian invasion of Ukraine,2022-01-27,2022-02-24,2022-03-24,41,ML Probability-Weighted,-0.03258729188064369,-0.0008080507881630509,0.009832841555463703,-0.017997299835572,-0.020527044390838262,-0.08253527997789101,0.5709634704454244,0.3892136974167347,0.783452777854776,0.28777131677073176,0.2926829268292683
