strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown,sharpe_ratio,return_cvar_ratio,cost_rate,total_transaction_cost
Buy & Hold,0.8580155220954178,0.0003843107906652276,0.012732879765716253,-0.017651343647535688,-0.03065974562059564,-0.39434324726316283,0.47913314048399724,27.98508287423778,0.0,0.0
ML Hard gross,0.6646173443048375,0.0003161261003589711,0.008724364034816055,-0.014358262102927285,-0.020753808265248065,-0.23061095188692626,0.5752105536738659,32.02387416374705,0.0,0.0
ML Hard net of costs,0.5983417906304427,0.0002909222772802608,0.008727033106807312,-0.014517346252315228,-0.020799885281145934,-0.24482140996410928,0.529188777293686,28.766590899076252,0.001,0.0406285628028811
ML Probability-Weighted gross,0.5965862500159915,0.00029024054351853973,0.008711589364981837,-0.014583333626389344,-0.02075077391784472,-0.2530813287404168,0.5288846384048156,28.75007228057911,0.0,0.0
ML Probability-Weighted net of costs,0.5279318754296201,0.00026297463127016594,0.008713032597655553,-0.014584785126637084,-0.020790763758938447,-0.26903688688298966,0.47912053650320163,25.39261575720851,0.001,0.043952650544378746
