sample,strategy,total_return,daily_volatility,VaR_95,CVaR_95,max_drawdown,sharpe_ratio,return_cvar_ratio,cost_rate,total_transaction_cost
ROBUST,Buy & Hold,0.8580155220954178,0.012732879765716253,-0.017651343647535688,-0.03065974562059564,-0.39434324726316283,0.47913314048399724,27.98508287423778,0.0,0.0
ROBUST,Regime-based net of costs,0.5338456254110906,0.008765548442027,-0.0145131568787889,-0.0208492922571362,-0.2784647919984095,0.4802919614607689,25.604975882496262,0.001,0.0414771568907969
ROBUST,ML Hard net of costs,0.5983417906304427,0.008727033106807312,-0.014517346252315228,-0.020799885281145934,-0.24482140996410928,0.529188777293686,28.766590899076252,0.001,0.0406285628028811
ROBUST,ML Probability-Weighted net of costs,0.5279318754296201,0.008713032597655553,-0.014584785126637084,-0.020790763758938447,-0.26903688688298966,0.47912053650320163,25.39261575720851,0.001,0.043952650544378746
