strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,1.2232319187573881,0.0005896398202706899,0.010258116316805206,-0.015876820091817578,-0.02377226397883067,-0.2176465717142304
ML hard classification,0.832010807253414,0.0004468001220592857,0.008172329484229102,-0.013261404250252977,-0.019126208571483144,-0.21874706325193272
ML probability-weighted,0.7846776181182604,0.0004274817659218779,0.008119005341021954,-0.013420284813597768,-0.019014058099800037,-0.21764240578059346
