mapping,strategy,total_return,mean_return,volatility,VaR_95,CVaR_95,max_drawdown
Original (1.0 / 0.75 / 0.25),Regime-based,0.8524449172737547,0.00045465069578234013,0.008159996481281772,-0.013320819196331,-0.01903821917448185,-0.21018341701722287
Alternative (1.0 / 0.5 / 0.0),Regime-based,0.7339147789191112,0.0004058862315966957,0.007798488354666731,-0.0128804700840168,-0.018420180676464993,-0.22042210148921437
