strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,0.8580155220954186,0.0003843107906652276,0.012732879765716252,-0.017651343647535678,-0.03065974562059564,-0.39434324726316283
ML hard classification,0.6646173443048407,0.00031612610035897234,0.00872436403481605,-0.014358262102927285,-0.020753808265248058,-0.2306109518869256
ML probability-weighted,0.5965862500160017,0.00029024054351854374,0.008711589364981861,-0.014583333626389345,-0.020750773917844745,-0.2530813287404159
