Strategy,Total Return,Daily Volatility,VaR 95%,CVaR 95%,Max Drawdown
Buy & Hold,1.2232,0.0103,-0.0159,-0.0238,-0.2176
Regime-based,0.8598,0.0082,-0.0133,-0.019,-0.2102
ML hard classification,0.832,0.0082,-0.0133,-0.0191,-0.2187
ML probability-weighted,0.7847,0.0081,-0.0134,-0.019,-0.2176
