sample,mapping,strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
MAIN,Original (1.0 / 0.75 / 0.25),ML hard classification,0.8736795909090036,0.00046339792853314436,0.008784523576400596,-0.014179141036956293,-0.02051776080419879,-0.2319810314172429
MAIN,Alternative (1.0 / 0.5 / 0.0),ML hard classification,0.7006499725404101,0.00039188967880336636,0.007811549622683612,-0.01288101560738616,-0.018519171155796627,-0.2271755925910799
MAIN,Original (1.0 / 0.75 / 0.25),ML probability-weighted,0.8542915673137936,0.00045572156361792417,0.008727816298278415,-0.014113090708641864,-0.020352301982790498,-0.22913587567841154
MAIN,Alternative (1.0 / 0.5 / 0.0),ML probability-weighted,0.6526494191879415,0.0003707599326490993,0.007693951905865867,-0.012728822942968192,-0.01816125690042747,-0.22452847558602984
ROBUST,Original (1.0 / 0.75 / 0.25),ML hard classification,0.6150596576657223,0.0002973771065282022,0.009093192769041778,-0.014868917108325299,-0.02183783337458787,-0.2615924946658573
ROBUST,Alternative (1.0 / 0.5 / 0.0),ML hard classification,0.4920704560141549,0.0002482411434219696,0.00785984454102347,-0.012981428457656275,-0.019131443737873472,-0.2420860579208144
ROBUST,Original (1.0 / 0.75 / 0.25),ML probability-weighted,0.6391945503456977,0.0003065787799971082,0.009047525216437617,-0.0146112601177642,-0.021730951368648197,-0.251010779927452
ROBUST,Alternative (1.0 / 0.5 / 0.0),ML probability-weighted,0.5040058271271675,0.00025318368482617985,0.007604132506249528,-0.012743475518789286,-0.018408534953914795,-0.23760575857251942
