strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,1.208353906472948,0.0005842532443211466,0.01025624859483034,-0.01587549405290155,-0.02377226397883067,-0.2176465717142304
Regime-based,0.895204619667052,0.0004714799494256856,0.008695187633536312,-0.014088870456889144,-0.02021172089771969,-0.23279660377007427
