sample,date,event_date,relative_session,strategy,return,cumulative_return_window,drawdown_window,probability_high_risk,assigned_regime,economic_label,strategy_exposure
MAIN,2022-02-16,2022-02-24,-6,ML Hard Classification,0.0012991891453413,0.00799335562801895,-0.009936458954941774,0.004715731,2,medium_risk,0.5905564268559998
MAIN,2022-02-17,2022-02-24,-5,ML Hard Classification,-0.00448479333289,0.0034828356821359208,-0.014366747433175897,0.004972965,2,medium_risk,0.5905564268559998
MAIN,2022-02-18,2022-02-24,-4,ML Hard Classification,-0.0055493855014584,-0.002070454491734819,-0.019821257726616914,0.004821828,2,medium_risk,0.5905564268559998
MAIN,2022-02-21,2022-02-24,-3,ML Hard Classification,-0.0069917524075865,-0.009023395847620463,-0.02665052272231505,0.002544035,2,medium_risk,0.5905564268559998
MAIN,2022-02-22,2022-02-24,-2,ML Hard Classification,0.0002990533866927,-0.008726996620628147,-0.026359395735613633,0.0014067031,2,medium_risk,0.5905564268559998
MAIN,2022-02-23,2022-02-24,-1,ML Hard Classification,-0.0037038256510509,-0.012391708082107433,-0.02995892065926753,0.0020985184,2,medium_risk,0.5905564268559998
MAIN,2022-02-24,2022-02-24,0,ML Hard Classification,-0.0171514711840346,-0.02918620636015845,-0.04645468458707902,0.006898653,2,medium_risk,0.5905564268559998
MAIN,2022-02-25,2022-02-24,1,ML Hard Classification,0.0203961608396569,-0.009182021270684904,-0.02680632657477311,0.014804409,2,medium_risk,0.5905564268559998
MAIN,2022-02-28,2022-02-24,2,ML Hard Classification,-0.0005151271212615,-0.009692287046608294,-0.027307515930996673,0.0063728234,2,medium_risk,0.5905564268559998
MAIN,2022-03-01,2022-02-24,3,ML Hard Classification,-0.020623418284182,-0.029906656078344973,-0.047162319211007886,0.3073578,2,medium_risk,0.5905564268559998
MAIN,2022-03-02,2022-02-24,4,ML Hard Classification,0.0095010622942258,-0.020645814535049878,-0.038066206106473266,0.05812707,2,medium_risk,0.5905564268559998
MAIN,2022-03-03,2022-02-24,5,ML Hard Classification,-0.0223920836137323,-0.04233189100588153,-0.059366538635657884,0.8236047,1,high_risk,0.5905564268559998
MAIN,2022-03-04,2022-02-24,6,ML Hard Classification,-0.0131321577250991,-0.05482592330723468,-0.07163833169177591,0.91796684,1,high_risk,0.3555517372976248
MAIN,2022-03-07,2022-02-24,7,ML Hard Classification,-0.0035311250647971,-0.05815756549561191,-0.07491071185589393,0.81921166,1,high_risk,0.3555517372976248
MAIN,2022-03-08,2022-02-24,8,ML Hard Classification,0.0063976981099452,-0.05211262570110864,-0.06897329722420598,0.78906196,1,high_risk,0.3555517372976248
MAIN,2022-03-09,2022-02-24,9,ML Hard Classification,0.0169352003846918,-0.035923264966403856,-0.05307190687598162,0.9923982,1,high_risk,0.3555517372976248
MAIN,2022-03-10,2022-02-24,10,ML Hard Classification,-0.0041092171890591,-0.03987673725634788,-0.056955056256829284,0.96085906,1,high_risk,0.3555517372976248
MAIN,2022-03-11,2022-02-24,11,ML Hard Classification,0.0031933632869583,-0.036805814201339326,-0.05393875765015399,0.91695404,1,high_risk,0.3555517372976248
MAIN,2022-03-14,2022-02-24,12,ML Hard Classification,0.0040079230655224,-0.0329376595523706,-0.050139408311505096,0.7617327,1,high_risk,0.3555517372976248
