strategy,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,0.010258116316805206,-0.015876820091817578,-0.02377226397883067,-0.2176465717142304
ML hard classification,0.008784523576400596,-0.01417914103695629,-0.02051776080419879,-0.2319810314172429
ML probability-weighted,0.008727816298278415,-0.014113090708641838,-0.020352301982790498,-0.22913587567841154
