strategy,total_return,mean_daily_return,daily_volatility,VaR_95,CVaR_95,max_drawdown,sharpe_ratio,return_cvar_ratio,cost_rate,total_transaction_cost
Buy & Hold,1.2232319187573886,0.0005896398202706899,0.010258116316805206,-0.01587682009181758,-0.02377226397883067,-0.2176465717142304,0.9124718102375313,51.456265160385364,0.0,0.0
ML Hard gross,0.8320108072534094,0.00044680012205928387,0.00817232948422909,-0.01326140425025292,-0.019126208571483137,-0.21874706325193294,0.867895997832751,43.501084082807914,0.0,0.0
ML Hard net of costs,0.7698588075076802,0.00042132824622456705,0.00817301081207943,-0.013395345775727392,-0.01916187139002558,-0.22453068798913922,0.8183494079241843,40.17659819533172,0.001,0.03451439175604144
ML Probability-Weighted gross,0.7846776181182502,0.0004274817659218739,0.008119005341021916,-0.013420284813597728,-0.01901405809979999,-0.2176424057805928,0.8358243862184581,41.26828760066239,0.0,0.0
ML Probability-Weighted net of costs,0.7161247840338771,0.00039857469844310485,0.008119741496692642,-0.013463622659887651,-0.019052091756062477,-0.22658975954306992,0.779233820233725,37.58772491771159,0.001,0.03916907643373209
