strategy,daily_volatility,VaR_95,CVaR_95,max_drawdown
Buy & Hold,0.012732879765716253,-0.017651343647535678,-0.03065974562059564,-0.39434324726316283
ML hard classification,0.009093192769041778,-0.014868917108325296,-0.02183783337458787,-0.2615924946658573
ML probability-weighted,0.009047525216437617,-0.014611260117764197,-0.021730951368648197,-0.251010779927452
