sample,analysis,threshold,tail_days,strategy,total_return_tail,mean_return_tail,volatility_tail,VaR_95_tail,CVaR_95_tail,worst_day,max_drawdown_tail
MAIN,Worst 5% OOS market days,-0.01587682009181758,68,Buy & Hold,-0.80141021238284,-0.02377226397883067,0.009728939637102401,-0.04600898220665442,-0.05255855200430993,-0.0600808612737825,-0.7979912794822774
MAIN,Worst 5% OOS market days,-0.01587682009181758,68,Regime-based,-0.7029158879952233,-0.01784911727751808,0.007616085748938076,-0.031354609163275995,-0.0386086591974005,-0.0508356195882538,-0.6978012712923465
MAIN,Worst 5% OOS market days,-0.01587682009181758,68,ML Hard Classification,-0.7055401933049874,-0.01797959948555754,0.007739012795231333,-0.03190407269205877,-0.0386086591974005,-0.0508356195882538,-0.7025568721318151
MAIN,Worst 5% OOS market days,-0.01587682009181758,68,ML Probability-Weighted,-0.7094420116283537,-0.018175766277552602,0.007628257656165529,-0.030009702616430704,-0.0401192764897919,-0.0501807754641386,-0.7062777288913893
ROBUST,Worst 5% OOS market days,-0.017651343647535688,81,Buy & Hold,-0.9165443057113067,-0.03065974562059564,0.018549969004989748,-0.0525736937228119,-0.08584308969290341,-0.1515117593801165,-0.9148005759553935
ROBUST,Worst 5% OOS market days,-0.017651343647535688,81,Regime-based,-0.7863726192811757,-0.01905582707685744,0.010314618593951592,-0.0357526996096709,-0.049425382348205385,-0.0600808612737825,-0.7819090722025471
ROBUST,Worst 5% OOS market days,-0.017651343647535688,81,ML Hard Classification,-0.7891215040299668,-0.0192157180228857,0.009330024397593048,-0.0357526996096709,-0.0446274195089467,-0.0588713126461821,-0.784715392362701
ROBUST,Worst 5% OOS market days,-0.017651343647535688,81,ML Probability-Weighted,-0.7943752083312674,-0.0195271872916567,0.009440718550821332,-0.0378926398550532,-0.04717229977480794,-0.0604162271722415,-0.7901004254062021
