date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,p_regime_0,p_regime_1,p_regime_2,regime
2000-03-28,train,train,0.0040290096648025,0.0127993146708055,-0.0301116875110569,0.591947770442302,0.3527944401344133,0.055257789423284506,0
2000-03-29,train,train,-0.0100825252730942,0.0126527683782133,-0.0257408660727758,0.5421494324498365,0.4165255323407657,0.041325035209397724,0
2000-03-30,train,train,-0.0213366929395534,0.0133342514866999,-0.0224760604672577,0.06833500382943564,0.823867486606549,0.10779750956401532,1
2000-03-31,train,train,0.0085491936104847,0.0130965434230296,-0.0224760604672577,0.11181882857455869,0.8213412903892228,0.06683988103621867,1
2000-04-03,train,train,-0.0210494747139252,0.0137044921758287,-0.0224760604672577,0.009611019411554912,0.8930408135456492,0.09734816704279603,1
2000-04-04,train,train,-0.0087836972628787,0.0134600713113217,-0.0224760604672577,0.024727538006782755,0.9118548550209158,0.06341760697230152,1
2000-04-05,train,train,-0.0182593711473759,0.0137951943301053,-0.0224760604672577,0.0062373506347003765,0.9230077927875756,0.0707548565777241,1
2000-04-06,train,train,0.0203031901128648,0.0142696221090327,-0.0224760604672577,0.004141795290480124,0.9078096740260744,0.08804853068344587,1
2000-04-07,train,train,0.0156166519047697,0.0143540090995305,-0.0224760604672577,0.010345333732962217,0.9110241272907966,0.07863053897624102,1
2000-04-10,train,train,-0.0018590910882503,0.0139241766642091,-0.0224760604672577,0.0463384909384856,0.9094056621575027,0.0442558469040118,1
2000-04-11,train,train,-0.0217669344363005,0.0145147407870341,-0.0226194742995068,0.0036085679057282485,0.9275538943283572,0.06883753776591463,1
2000-04-12,train,train,0.0023246198338672,0.0140840785836427,-0.0226194742995068,0.03735820653863594,0.9232449627668835,0.039396830694480516,1
2000-04-13,train,train,0.0090646472903736,0.0138343652983121,-0.0226194742995068,0.06794785640252494,0.9041578473462379,0.027894296251236864,1
2000-04-14,train,train,-0.0246241510199891,0.0147067063689335,-0.023571879827403,0.0019706942926357943,0.9356459609231674,0.062383344784196715,1
2000-04-17,train,train,-0.0129845000735431,0.0146091003836067,-0.023571879827403,0.00906165545163073,0.9405957013159036,0.050342643232465595,1
2000-04-18,train,train,0.0039326208469135,0.0141967670820062,-0.023571879827403,0.045724429894691054,0.9240088239141201,0.03026674619118893,1
2000-04-19,train,train,0.0069288226620821,0.0138685189856323,-0.023571879827403,0.09236589256349655,0.8869062759125763,0.020727831523926963,1
2000-04-20,train,train,0.0142023036285973,0.013888772279258,-0.023571879827403,0.07214655552982344,0.9056735151488238,0.022179929321352935,1
2000-04-25,train,train,-0.0066732406144779,0.0135645141497034,-0.023571879827403,0.1049858442935523,0.8785949608094653,0.016419194896982195,1
2000-04-26,train,train,0.0048893498805741,0.0132057042979817,-0.023571879827403,0.1907374172687882,0.7974235862570896,0.011838996474122204,1
2000-04-27,train,train,-0.0183265771921188,0.0135675714238072,-0.023571879827403,0.03578483856538822,0.9419747075723837,0.02224045386222799,1
2000-04-28,train,train,0.0171413937342253,0.0138081098427268,-0.023571879827403,0.020141053622139717,0.9517355310431552,0.028123415334704582,1
2000-05-02,train,train,0.0342264807124358,0.0157959229708366,-0.023571879827403,5.672231305101879e-05,0.8379982578982001,0.16194501978874878,1
2000-05-03,train,train,-0.0169368103274546,0.0158666897680221,-0.023571879827403,0.003133001908794655,0.8454668424963615,0.15140015559484366,1
2000-05-04,train,train,-0.0060519634512668,0.0154545886143859,-0.023571879827403,0.024683120522581013,0.8850122294719092,0.09030465000551016,1
2000-05-05,train,train,-0.0031608121692196,0.015003769349722,-0.023571879827403,0.06600104832314363,0.8833332910719207,0.05066566060493571,1
2000-05-08,train,train,-0.0224721263280551,0.0155533307275298,-0.0236454178931359,0.0038509444689636477,0.913361409743318,0.08278764578771809,1
2000-05-09,train,train,-0.0207642581566995,0.0159141759423669,-0.0236454178931359,0.0014911921282992385,0.8934443916324751,0.10506441623922558,1
2000-05-10,train,train,-0.0218599487438469,0.016332078181118,-0.0236454178931359,0.0009151774200900586,0.8587300787219445,0.1403547438579654,1
2000-05-11,train,train,0.0186574469089947,0.016480855273954,-0.0236454178931359,0.004366094632307217,0.8498853567821248,0.14574854858556793,1
2000-05-12,train,train,0.0059893757445772,0.0160459911640241,-0.0231159298263001,0.03304249874869933,0.8809307908972746,0.08602671035402627,1
2000-05-15,train,train,-0.008438847774452,0.0156938921748369,-0.0231159298263001,0.04925220540281272,0.8951226547983103,0.055625139798876844,1
2000-05-16,train,train,0.019019883089757,0.0159130673870428,-0.0231159298263001,0.016840411476131745,0.9162358248445928,0.06692376367927587,1
2000-05-17,train,train,-0.0285113531211039,0.0169353478338199,-0.025202543489716,0.0001647820230428202,0.8300527232578139,0.1697824947191433,1
2000-05-18,train,train,-0.0014407236488198,0.0164232209677412,-0.025202543489716,0.027913578232832113,0.8772355383065009,0.09485088346066682,1
2000-05-19,train,train,-0.0321658339369383,0.017765621523309,-0.0284337793593437,4.1450221122667795e-05,0.6899357622947945,0.31002278748408296,1
2000-05-22,train,train,-0.0209483693301743,0.0179724878711462,-0.0284337793593437,0.000822923642439059,0.6481891016470298,0.3509879747105313,1
2000-05-23,train,train,0.005196459364742,0.0174714021319856,-0.0284337793593437,0.024361913770961113,0.7568857006044608,0.21875238562457802,1
2000-05-24,train,train,-0.0036384895090604,0.0169625828005216,-0.0284337793593437,0.06399976756019474,0.8113061456955287,0.1246940867442766,1
2000-05-25,train,train,0.0208780910834622,0.0172226346296389,-0.0284337793593437,0.012886605869666331,0.8282344653251634,0.15887892880517038,1
2000-05-26,train,train,-0.0117633412304662,0.0169447504196769,-0.0284337793593437,0.017408069868511913,0.8673082198628845,0.11528371026860375,1
2000-05-29,train,train,0.0116024263904139,0.0166725544133684,-0.0284337793593437,0.03214652741815557,0.8853451634309571,0.08250830915088692,1
2000-05-30,train,train,0.0084499025451943,0.0162966155261797,-0.0284337793593437,0.06518408954355163,0.8823587399213982,0.05245717053505018,1
2000-05-31,train,train,0.0037493637470546,0.0158268240864078,-0.0284337793593437,0.1385203121494288,0.8317835973177945,0.02969609053277656,1
2000-06-01,train,train,0.0173441730731293,0.0159219433298141,-0.0284337793593437,0.060456129118889014,0.9026772994715202,0.036866571409590744,1
2000-06-02,train,train,0.0241642583466343,0.0165327694449695,-0.0284337793593437,0.00512820142752356,0.9219126255275594,0.07295917304491711,1
2000-06-05,train,train,-0.0123997638686867,0.0163143423474327,-0.0284337793593437,0.011737070624644994,0.9318982979513329,0.05636463142402232,1
2000-06-06,train,train,-0.0203526063867867,0.0165843907171657,-0.0284337793593437,0.002400479981229224,0.9241127745753154,0.07348674544345495,1
2000-06-07,train,train,-0.0087186018829815,0.0162203679261498,-0.0284337793593437,0.018218740699449103,0.9331078324816454,0.04867342681890507,1
2000-06-08,train,train,0.0103032141574853,0.0159274507953592,-0.0284337793593437,0.038988385104748544,0.9256310612487684,0.03538055364648323,1
2000-06-09,train,train,0.0067920104927062,0.0155315984979092,-0.0284337793593437,0.08359675076240851,0.8929137737912988,0.023489475446292814,1
2000-06-12,train,train,-0.0075608356533465,0.0151719047232988,-0.0284337793593437,0.10816504889162681,0.8741940265526779,0.017640924555695464,1
2000-06-13,train,train,0.0013613009347386,0.0147134863227917,-0.0284337793593437,0.20783648704879573,0.7804707601510524,0.011692752800151838,1
2000-06-14,train,train,0.0068890669468122,0.0143647148801701,-0.0284337793593437,0.3027046724125533,0.6880304223143687,0.00926490527307829,1
2000-06-15,train,train,-0.0004320692002735,0.0139275099210482,-0.0284337793593437,0.4529247199377162,0.5408543799962414,0.006220900066042347,1
2000-06-16,train,train,-0.0140929885591098,0.0139374940443565,-0.0284337793593437,0.24560688715441908,0.7429131415607021,0.011479971284878923,1
2000-06-19,train,train,-0.0120267806132202,0.0138302972830448,-0.0284337793593437,0.1648771373568355,0.8214673649196963,0.013655497723468486,1
2000-06-20,train,train,-0.0030435536934753,0.0134296793970019,-0.0284337793593437,0.26226932723429097,0.7279993519574369,0.009731320808271958,1
2000-06-21,train,train,-0.0202734399593147,0.0139354100567912,-0.0284337793593437,0.03115494982404729,0.9446197636114033,0.024225286564549434,1
2000-06-22,train,train,0.0133482854740662,0.0139008819054653,-0.0284337793593437,0.03578465457379073,0.9406599494668872,0.023555395959321983,1
2000-06-23,train,train,0.0040525611219657,0.0135139128968462,-0.0284337793593437,0.08990565057999288,0.8940351413575259,0.016059208062481112,1
2000-06-26,train,train,-0.0042050546142896,0.0131426496694952,-0.0284337793593437,0.15143446200075603,0.8365945793037587,0.011970958695485315,1
2000-06-27,train,train,0.0037398013588732,0.0127751576415795,-0.0284337793593437,0.2630173612894608,0.7280394501210604,0.008943188589478802,1
2000-06-28,train,train,0.0052104720091649,0.012451558726307,-0.0284337793593437,0.39049837437587814,0.6025716269886923,0.0069299986354297675,1
2000-06-29,train,train,-0.0206980334534993,0.0130936378124005,-0.0284337793593437,0.04760235373846067,0.9298209582129738,0.022576688048565715,1
2000-06-30,train,train,0.0205184504197189,0.0136534669058877,-0.0284337793593437,0.011608643498287479,0.9516312742936771,0.03676008220803533,1
2000-07-03,train,train,0.0089755506162249,0.013418858355651,-0.0284337793593437,0.036529951413818144,0.9368802044955779,0.026589844090603814,1
2000-07-04,train,train,0.0159999290198793,0.0135875559874966,-0.0284337793593437,0.025474542975290195,0.9448437007683449,0.029681756256364884,1
2000-07-05,train,train,-0.0084512915520295,0.013335285403185,-0.0284337793593437,0.04169017551888018,0.9360844057278652,0.02222541875325458,1
2000-07-06,train,train,-0.0016746388227362,0.0129355444991129,-0.0284337793593437,0.09773036895871288,0.8873245826808875,0.014945048360399608,1
2000-07-07,train,train,0.0145222153806584,0.0130361918201963,-0.0284337793593437,0.0720680057277732,0.9097685644747803,0.018163429797446392,1
2000-07-10,train,train,-0.0062414929859865,0.0127311874318236,-0.0284337793593437,0.10905371923209753,0.8769011200360715,0.014045160731830863,1
2000-07-11,train,train,0.0042296500148144,0.0123867486360884,-0.0284337793593437,0.20067269996279188,0.7888528579333789,0.010474442103829345,1
2000-07-12,train,train,0.0003585992616302,0.0120097196001008,-0.0277164377953657,0.33401791004898945,0.6584553445459813,0.007526745405029277,1
2000-07-13,train,train,-0.0028075841142542,0.0116641465480412,-0.0277164377953657,0.46339293412432303,0.5309607524049956,0.005646313470681297,1
2000-07-14,train,train,0.014132401287752,0.0118267773202176,-0.0277164377953657,0.3639965027449785,0.6267369040053712,0.009266593249650498,1
2000-07-17,train,train,-0.0048651656929923,0.0115282475818447,-0.0277164377953657,0.459949980183458,0.5332665494352089,0.006783470381333074,1
2000-07-18,train,train,-0.0145076391910825,0.011728374075878,-0.0277164377953657,0.2350636049443217,0.752350832012997,0.012585563042680978,1
2000-07-19,train,train,0.0054708302484889,0.0114497716995742,-0.0277164377953657,0.3548073514600826,0.6363235023242398,0.008869146215677234,1
2000-07-20,train,train,0.0124012019837459,0.0115090757358064,-0.0277164377953657,0.3265134574661711,0.6630124391920968,0.010474103341732047,1
2000-07-21,train,train,-0.0097413712467071,0.0114107385239057,-0.0277164377953657,0.2940239662451828,0.6953669915170705,0.010609042237746842,1
2000-07-24,train,train,-0.0044308889491455,0.0111162324127408,-0.0277164377953657,0.3941832176385198,0.5981066963343428,0.00771008602713741,1
2000-07-25,train,train,-0.0108513054707882,0.0111005151004828,-0.0277164377953657,0.3176197501256043,0.6728985109733289,0.009481738901066926,1
2000-07-26,train,train,0.0027215676256452,0.0107829757111264,-0.0277164377953657,0.4725581745980399,0.5212010017919946,0.006240823609965419,1
2000-07-27,train,train,-0.0016581269261517,0.010462369443378,-0.0277164377953657,0.6145516755814251,0.3813487394953222,0.004099584923252407,0
2000-07-28,train,train,-0.0155974380260548,0.0108392946396961,-0.0277164377953657,0.30762011594946137,0.6813936730534258,0.010986210997112677,1
2000-07-31,train,train,-0.0026930566903335,0.0105297693730307,-0.0275123786006297,0.43676318311665335,0.555999727545441,0.007237089337905645,1
2000-08-01,train,train,0.0016508460511458,0.0102169955479749,-0.0275123786006297,0.5963114006347966,0.39918477947728565,0.004503819887917711,0
2000-08-02,train,train,0.0090122672700662,0.010148745529696,-0.0272085187960721,0.6539762408433091,0.3419100848125084,0.0041136743441824025,0
2000-08-03,train,train,-0.0181543267713328,0.0107977770169675,-0.0272085187960721,0.22089360473134248,0.7636634566059884,0.015442938662669,1
2000-08-04,train,train,0.0123977668840993,0.0109004012137357,-0.0272085187960721,0.20569251659881568,0.7786492448908051,0.015658238510378737,1
2000-08-07,train,train,0.0116763660797706,0.0109485100955754,-0.0272085187960721,0.20820111231561533,0.7767506790621225,0.015048208622262318,1
2000-08-08,train,train,0.0148227373339102,0.0112187563231557,-0.0272085187960721,0.14088476895618496,0.8404392460656752,0.018675984978139836,1
2000-08-09,train,train,0.0077271508251531,0.011040443624444,-0.0246040789068706,0.20950548210699066,0.7765889485082252,0.013905569384783968,1
2000-08-10,train,train,0.014386505691888,0.0112692592684887,-0.0246040789068706,0.1511477729225196,0.8317418567019532,0.017110370375527272,1
2000-08-11,train,train,-0.0014411057067657,0.0109316530923862,-0.0206663363901534,0.259256342005452,0.7296671015248715,0.011076556469676495,1
2000-08-14,train,train,0.010401267126268,0.0109005577124411,-0.0204413599332002,0.29026959985960055,0.6990619206669418,0.010668479473457695,1
2000-08-15,train,train,-0.0002408030497092,0.0105686474111992,-0.0204413599332002,0.4401721690112977,0.5529689631906303,0.006858867798072269,1
2000-08-16,train,train,0.0119554731936014,0.0106569474979043,-0.0204413599332002,0.4211421306006004,0.5706336363328058,0.00822423306659372,1
2000-08-17,train,train,-0.0166417499247686,0.0111073475055125,-0.0204413599332002,0.1410870024111388,0.8416300498281629,0.01728294776069817,1
2000-08-18,train,train,-0.0081004101100629,0.0109502409621339,-0.0204413599332002,0.15932950663966378,0.8264684765731709,0.014202016787165374,1
2000-08-21,train,train,0.0025271056201849,0.0106346831767571,-0.0204413599332002,0.2793341068811132,0.7110173989919213,0.00964849412696556,1
2000-08-22,train,train,-0.0144272393057106,0.0108995142613263,-0.0204413599332002,0.1281037664879172,0.8569954259831267,0.014900807528956228,1
2000-08-23,train,train,-0.0125618938128135,0.0110063398564077,-0.0204413599332002,0.0794060853020928,0.9039367478630302,0.016657166834877245,1
2000-08-24,train,train,-0.0072497162717087,0.0108177931748523,-0.0204413599332002,0.10695347941964843,0.8793401212385749,0.013706399341776771,1
2000-08-25,train,train,0.0091186881464824,0.0107234415480393,-0.0204413599332002,0.14990043802339068,0.8376854471052082,0.012414114871401,1
2000-08-28,train,train,0.0082115075666406,0.0105895419214989,-0.0204413599332002,0.21319033899274853,0.7760065676389827,0.010803093368269023,1
2000-08-29,train,train,-0.0061523230936863,0.0103769532613237,-0.0197086000613822,0.27144002939360024,0.7194505570556533,0.0091094135507464,1
2000-08-30,train,train,0.0026715596346673,0.0100820892329581,-0.0197086000613822,0.4203084493008653,0.57324044882079,0.0064511018783446035,1
2000-08-31,train,train,0.0013882867673648,0.0097808615322045,-0.0197086000613822,0.580521715820154,0.4151649490721423,0.0043133351077036305,0
2000-09-01,train,train,0.0258823170242553,0.0114069714318074,-0.0197086000613822,0.04920985024253203,0.9174586580031324,0.03333149175433534,1
2000-09-04,train,train,0.0067986447853723,0.0111841473374758,-0.0197086000613822,0.09814846849078894,0.8796306570672695,0.022220874441941655,1
2000-09-05,train,train,-0.0051795047770253,0.0109174025642777,-0.0197086000613822,0.1523078920426104,0.8323343665685454,0.01535774138884411,1
2000-09-06,train,train,0.0044857193576832,0.0106416915344705,-0.0197086000613822,0.25946136665623726,0.7298813334625063,0.01065729988125658,1
2000-09-07,train,train,0.0039074731827738,0.0103618031052698,-0.0197086000613822,0.39921396194607073,0.5934046486828906,0.007381389371038358,1
2000-09-08,train,train,-0.0160105256414364,0.0107844870835725,-0.0197086000613822,0.14841718315009939,0.8364362027817286,0.0151466140681717,1
2000-09-11,train,train,0.0113286098084874,0.0108179062654459,-0.0197086000613822,0.16045946160558075,0.8248563567440197,0.014684181650399726,1
2000-09-12,train,train,0.0072754771964772,0.0106386758723106,-0.0197086000613822,0.2396647458853704,0.7489531849137278,0.011382069200901585,1
2000-09-13,train,train,-0.0088171931820655,0.0105382689562238,-0.0184980367165335,0.23947892877091007,0.7497007634843647,0.010820307744725088,1
2000-09-14,train,train,0.0211002185550738,0.0114501073891209,-0.0184980367165335,0.04752385713504522,0.9260307430283096,0.026445399836645234,1
2000-09-15,train,train,0.0010037236463886,0.0111040132086807,-0.0184980367165335,0.11306775233060233,0.8702130297026921,0.01671921796670544,1
2000-09-18,train,train,-0.0242824933323179,0.0122995744529754,-0.0210449511857166,0.003577508588050587,0.9527472256336463,0.04367526577830305,1
2000-09-19,train,train,-0.0110184418750875,0.0122264926901426,-0.0210449511857166,0.014023275763621593,0.9522216757871904,0.03375504844918809,1
2000-09-20,train,train,-0.0149501443706183,0.0124067846396285,-0.0210449511857166,0.010178800259079161,0.9562096740208613,0.03361152572005961,1
2000-09-21,train,train,-0.0090211036329225,0.0122301032470634,-0.0196928566761397,0.02490249712092508,0.9499865541246578,0.02511094875441718,1
2000-09-22,train,train,0.020703554919523,0.0128964774681361,-0.0196928566761397,0.007079280237071047,0.9531478552551718,0.03977286450775712,1
2000-09-25,train,train,0.0116907272384271,0.0128273290057896,-0.0196928566761397,0.022636657413616906,0.9454982860251206,0.03186505656126235,1
2000-09-26,train,train,-0.0183679524664195,0.0132253864943874,-0.0202682575233567,0.00583101652180975,0.9539025157361585,0.040266467742031735,1
