date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,p_regime_0,p_regime_1,p_regime_2,regime
2000-03-28,train,train,0.0040290096648025,0.0127993146708055,-0.0301116875110569,0.5745865274882607,0.05490939993715591,0.37050407257458345,0
2000-03-29,train,train,-0.0100825252730942,0.0126527683782133,-0.0257408660727758,0.5235365067974898,0.03948040242701588,0.43698309077549446,0
2000-03-30,train,train,-0.0213366929395534,0.0133342514866999,-0.0224760604672577,0.06275201421296184,0.09809927574480024,0.839148710042238,2
2000-03-31,train,train,0.0085491936104847,0.0130965434230296,-0.0224760604672577,0.10419162675127458,0.05955534207538108,0.8362530311733445,2
2000-04-03,train,train,-0.0210494747139252,0.0137044921758287,-0.0224760604672577,0.008784133451288185,0.08553419506934135,0.9056816714793706,2
2000-04-04,train,train,-0.0087836972628787,0.0134600713113217,-0.0224760604672577,0.023414229936157344,0.054170083666915725,0.922415686396927,2
2000-04-05,train,train,-0.0182593711473759,0.0137951943301053,-0.0224760604672577,0.005877301502301247,0.06017731862019518,0.9339453798775038,2
2000-04-06,train,train,0.0203031901128648,0.0142696221090327,-0.0224760604672577,0.003984832030009574,0.07660859656262727,0.9194065714073634,2
2000-04-07,train,train,0.0156166519047697,0.0143540090995305,-0.0224760604672577,0.010045533909122223,0.06843995121799086,0.9215145148728869,2
2000-04-10,train,train,-0.0018590910882503,0.0139241766642091,-0.0224760604672577,0.04502272673618246,0.037678399355570644,0.917298873908247,2
2000-04-11,train,train,-0.0217669344363005,0.0145147407870341,-0.0226194742995068,0.0034323205221621573,0.059449101432411,0.9371185780454268,2
2000-04-12,train,train,0.0023246198338672,0.0140840785836427,-0.0226194742995068,0.03621210367741465,0.03353525134855261,0.9302526449740328,2
2000-04-13,train,train,0.0090646472903736,0.0138343652983121,-0.0226194742995068,0.06599381226379855,0.024134378366849694,0.9098718093693517,2
2000-04-14,train,train,-0.0246241510199891,0.0147067063689335,-0.023571879827403,0.0018606472146440885,0.05580923034727377,0.942330122438082,2
2000-04-17,train,train,-0.0129845000735431,0.0146091003836067,-0.023571879827403,0.008684905539381118,0.04430743773830497,0.9470076567223139,2
2000-04-18,train,train,0.0039326208469135,0.0141967670820062,-0.023571879827403,0.044248085302906685,0.026496531448364044,0.929255383248729,2
2000-04-19,train,train,0.0069288226620821,0.0138685189856323,-0.023571879827403,0.08968493524709377,0.018480236773588135,0.8918348279793181,2
2000-04-20,train,train,0.0142023036285973,0.013888772279258,-0.023571879827403,0.06997022960340794,0.020555837525267063,0.9094739328713249,2
