date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,regime,regime_block
2000-03-28,train,train,0.0040290096648025,0.0127993146708055,-0.0301116875110569,0,1
2000-03-29,train,train,-0.0100825252730942,0.0126527683782133,-0.0257408660727758,0,1
2000-03-30,train,train,-0.0213366929395534,0.0133342514866999,-0.0224760604672577,1,2
2000-03-31,train,train,0.0085491936104847,0.0130965434230296,-0.0224760604672577,1,2
2000-04-03,train,train,-0.0210494747139252,0.0137044921758287,-0.0224760604672577,1,2
2000-04-04,train,train,-0.0087836972628787,0.0134600713113217,-0.0224760604672577,1,2
2000-04-05,train,train,-0.0182593711473759,0.0137951943301053,-0.0224760604672577,1,2
2000-04-06,train,train,0.0203031901128648,0.0142696221090327,-0.0224760604672577,1,2
2000-04-07,train,train,0.0156166519047697,0.0143540090995305,-0.0224760604672577,1,2
2000-04-10,train,train,-0.0018590910882503,0.0139241766642091,-0.0224760604672577,1,2
2000-04-11,train,train,-0.0217669344363005,0.0145147407870341,-0.0226194742995068,1,2
2000-04-12,train,train,0.0023246198338672,0.0140840785836427,-0.0226194742995068,1,2
2000-04-13,train,train,0.0090646472903736,0.0138343652983121,-0.0226194742995068,1,2
2000-04-14,train,train,-0.0246241510199891,0.0147067063689335,-0.023571879827403,1,2
2000-04-17,train,train,-0.0129845000735431,0.0146091003836067,-0.023571879827403,1,2
2000-04-18,train,train,0.0039326208469135,0.0141967670820062,-0.023571879827403,1,2
2000-04-19,train,train,0.0069288226620821,0.0138685189856323,-0.023571879827403,1,2
2000-04-20,train,train,0.0142023036285973,0.013888772279258,-0.023571879827403,1,2
2000-04-25,train,train,-0.0066732406144779,0.0135645141497034,-0.023571879827403,1,2
2000-04-26,train,train,0.0048893498805741,0.0132057042979817,-0.023571879827403,1,2
2000-04-27,train,train,-0.0183265771921188,0.0135675714238072,-0.023571879827403,1,2
2000-04-28,train,train,0.0171413937342253,0.0138081098427268,-0.023571879827403,1,2
2000-05-02,train,train,0.0342264807124358,0.0157959229708366,-0.023571879827403,1,2
2000-05-03,train,train,-0.0169368103274546,0.0158666897680221,-0.023571879827403,1,2
2000-05-04,train,train,-0.0060519634512668,0.0154545886143859,-0.023571879827403,1,2
2000-05-05,train,train,-0.0031608121692196,0.015003769349722,-0.023571879827403,1,2
2000-05-08,train,train,-0.0224721263280551,0.0155533307275298,-0.0236454178931359,1,2
2000-05-09,train,train,-0.0207642581566995,0.0159141759423669,-0.0236454178931359,1,2
2000-05-10,train,train,-0.0218599487438469,0.016332078181118,-0.0236454178931359,1,2
2000-05-11,train,train,0.0186574469089947,0.016480855273954,-0.0236454178931359,1,2
2000-05-12,train,train,0.0059893757445772,0.0160459911640241,-0.0231159298263001,1,2
2000-05-15,train,train,-0.008438847774452,0.0156938921748369,-0.0231159298263001,1,2
2000-05-16,train,train,0.019019883089757,0.0159130673870428,-0.0231159298263001,1,2
2000-05-17,train,train,-0.0285113531211039,0.0169353478338199,-0.025202543489716,1,2
2000-05-18,train,train,-0.0014407236488198,0.0164232209677412,-0.025202543489716,1,2
