date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,p_regime_0,p_regime_1,p_regime_2,regime,target_exposure,strategy_exposure,benchmark_return,strategy_return,benchmark_cum,strategy_cum,target_exposure_alt,strategy_exposure_alt,strategy_return_alt,strategy_cum_alt
2021-01-05,test,test,-0.0009511875089005,0.012880373205781,-0.026633720838901,0.5513625920491743,0.0047747246105936,0.4438626833402322,0,1.0,0.75,-0.0009511875089005,-0.000713390631675375,0.9990492647265398,0.9992868637709216,1.0,0.5,-0.00047559375445025,0.9995245193223324
2021-01-06,test,test,0.0314833149963947,0.0146772518025249,-0.026633720838901,0.0059579807163109,0.0682105578824758,0.9258314614012132,2,0.75,1.0,0.0314833149963947,0.0314833149963947,1.031003013053107,1.031248211502578,0.5,1.0,0.0314833149963947,1.0314934682664079
2021-01-07,test,test,0.0042423329295163,0.0142680152988189,-0.026633720838901,0.0388820479618749,0.038852722524114,0.922265229514011,2,0.75,0.75,0.0042423329295163,0.003181749697137225,1.0353861619003901,1.0345346106644722,0.5,0.5,0.00212116646475815,1.0336837597851303
2021-01-08,test,test,0.0026081999630999,0.0138480990520772,-0.026633720838901,0.0975781860094437,0.0226159933723463,0.8798058206182101,2,0.75,0.75,0.0026081999630999,0.001956149972324925,1.038090180827799,1.0365602961408427,0.5,0.5,0.00130409998154995,1.0350326661203868
2021-01-11,test,test,-0.0059886365516977,0.0135061275937876,-0.026633720838901,0.1415432194339957,0.0156891905987312,0.8427675899672729,2,0.75,0.75,-0.0059886365516977,-0.004491477413773275,1.0318920138357601,1.0319150488036484,0.5,0.5,-0.00299431827584885,1.0319380842857468
2021-01-12,test,test,-0.0013888921978028,0.0130990951945972,-0.026633720838901,0.2460040023821416,0.0104010220332536,0.7435949755846047,2,0.75,0.75,-0.0013888921978028,-0.0010416691483521,1.0304598218791132,1.0308406943916582,0.5,0.5,-0.0006944460989014,1.0312217076800663
2021-01-13,test,test,0.0018195035545821,0.0127078618505711,-0.026633720838901,0.3924952806409691,0.0070634418535928,0.600441277505438,2,0.75,0.75,0.0018195035545821,0.001364627665936575,1.0323364539394981,1.032248368379384,0.5,0.5,0.00090975177729105,1.032160290335294
2021-01-14,test,test,0.0013506777384324,0.0123251704842405,-0.026633720838901,0.5536127202546004,0.0046757008450781,0.4417115789003217,0,1.0,0.75,0.0013506777384324,0.0010130083038243,1.0337317498918739,1.0332945743663706,1.0,0.5,0.0006753388692162,1.0328575837267822
2021-01-15,test,test,-0.0170695389275313,0.0126600705910184,-0.026633720838901,0.1960618403546266,0.0138508117566857,0.7900873478886876,2,0.75,1.0,-0.0170695389275313,-0.0170695389275313,1.0162361710821897,1.015806394612448,0.5,1.0,-0.0170695389275313,1.0153767998994865
2021-01-18,test,test,0.0028874167059891,0.0122947539479827,-0.026633720838901,0.3271893297766606,0.009056705563345,0.6637539646599943,2,0.75,0.75,0.0028874167059891,0.0021655625294918247,1.0191747087295582,1.0180085704920017,0.5,0.5,0.00144370835299455,1.0168437665481411
2021-01-19,test,test,-0.0067463105717455,0.0120342045247194,-0.026633720838901,0.3778807723350456,0.0076967744207301,0.6144224532442243,2,0.75,0.75,-0.0067463105717455,-0.005059732928809125,1.0123221802500026,1.0128707280225464,0.5,0.5,-0.00337315528587275,1.0134195730370794
2021-01-20,test,test,0.0006217860844281,0.0116685882139313,-0.026633720838901,0.5378575415132265,0.0049939141826517,0.4571485443041219,0,1.0,0.75,0.0006217860844281,0.000466339563321075,1.012951823826161,1.0133431798684847,1.0,0.5,0.00031089304221405,1.0137346871120287
2021-01-21,test,test,-0.0100452282482707,0.0115776072867199,-0.0251054616161355,0.4783440629116303,0.0062991456288776,0.5153567914594921,2,0.75,1.0,-0.0100452282482707,-0.0100452282482707,1.0028274276214335,1.0032148720822422,0.5,1.0,-0.0100452282482707,1.0036024662330238
