date,ibex_close,ret_1d,ret_20d,ret_60d,vol_20d,vol_60d,ewma_vol,downside_vol_20d,downside_vol_60d,var_95_60d,cvar_95_60d,drawdown,skew_60d,sample_split_main,sample_split_robust,ret_risk_20d,ret_risk_60d
2000-03-28,12211.0869140625,0.0040290096648025,-0.030223867574575753,0.050478516169086024,0.009647723652252495,0.015025913633413133,0.012799314670805593,0.0060569392843369445,0.008742774127172165,-0.022330935340881666,-0.03011168751105697,-0.04725834876897139,-0.022342877879590915,train,train,-3.1327459890001363,3.3594307408260966
2000-03-29,12088.5869140625,-0.0100825252730942,-0.03655708741687526,0.07575996734169131,0.00982731414541722,0.014331878478221623,0.012652768378213374,0.005956242361085186,0.007453433594916298,-0.019754461678374833,-0.025740866072775898,-0.05681612631139432,0.15788802079991215,train,train,-3.719946963730976,5.286115665634085
2000-03-30,11833.388671875,-0.0213366929395534,-0.07143149951385055,0.08555438415824562,0.010048903224870865,0.014008796977804187,0.01333425148669998,0.006762691709866656,0.006667987372612035,-0.01970872071880969,-0.022476060467257798,-0.07672737551992892,0.2760843352238287,train,train,-7.108387643445387,6.107189953127286
2000-03-31,11934.98828125,0.0085491936104847,-0.06566376381688076,0.07231399707785142,0.010319927911591309,0.013785079975412165,0.01309654342302961,0.006762691709866656,0.006667987372612035,-0.01970872071880969,-0.022476060467257798,-0.06880030233786105,0.285327996131707,train,train,-6.362812257935197,5.245816288830728
2000-04-03,11686.388671875,-0.0210494747139252,-0.09233100139447917,0.04489886584572302,0.01081999673862361,0.014062688302674316,0.013704492175828798,0.007223585572338969,0.006820345297570557,-0.021063835625206608,-0.022476060467257798,-0.08819670857083639,0.29927565056949595,train,train,-8.533366841497257,3.192765485471548
2000-04-04,11584.1884765625,-0.0087836972628787,-0.08937388270150397,0.05062013529360543,0.010737408740663866,0.013976641559815803,0.013460071311321709,0.00721458300900991,0.006801819770112069,-0.021063835625206608,-0.022476060467257798,-0.09617064107360418,0.300892456750394,train,train,-8.323598817937727,3.621766722496713
2000-04-05,11374.587890625,-0.0182593711473759,-0.10772005777836169,0.04705177783859793,0.011105115193273231,0.014051257018731375,0.013795194330105365,0.0072817162307557285,0.0069038331006030405,-0.021063835625206608,-0.022476060467257798,-0.11252423922178478,0.2888948601189665,train,train,-9.700039657725624,3.3485813956626367
2000-04-06,11607.888671875,0.0203031901128648,-0.0790859857920462,0.06000075124483682,0.012467673793465212,0.01425188834198694,0.014269622109032768,0.007532522813955216,0.0069038331006030405,-0.021063835625206608,-0.022476060467257798,-0.0943214884653687,0.27319106009395244,train,train,-6.3432832060057756,4.210021142817329
2000-04-07,11790.587890625,0.0156166519047697,-0.0595214684302964,0.05281843912567932,0.01321342713993153,0.014094989527810966,0.01435400909953055,0.007584168678305075,0.0069038331006030405,-0.021063835625206608,-0.022476060467257798,-0.08006680691445467,0.2634658013164165,train,train,-4.504620020223219,3.7473202105941783
2000-04-10,11768.6884765625,-0.0018590910882503,-0.048997682823905195,0.04191598193037412,0.013027341041061452,0.014058197905619251,0.013924176664209132,0.007985718210274923,0.006988266389729331,-0.021063835625206608,-0.022476060467257798,-0.08177545775460804,0.30209282574449114,train,train,-3.7611422522422058,2.9816042007503496
2000-04-11,11515.2880859375,-0.0217669344363005,-0.08650613226747189,0.039772085464423124,0.012970407447125064,0.014113341106676947,0.014514740787034127,0.008263770305253099,0.007092373833864464,-0.021358205014390754,-0.022619474299506833,-0.1015464337771127,0.2880474474617993,train,train,-6.669499984493261,2.8180489059112417
2000-04-12,11542.087890625,0.0023246198338672,-0.0619300003027484,0.03719297084623952,0.012331114437034598,0.014104130325392907,0.014084078583642775,0.007926093948979158,0.007092373833864464,-0.021358205014390754,-0.022619474299506833,-0.0994554413576555,0.2976226076897052,train,train,-5.022254932348305,2.6370268841941815
