date,sample_split_main,ret_1d,regime,regime_t_plus_1,regime_pred,proba_0,proba_1,proba_2,target_exposure_ml_hard,target_exposure_ml_proba,strategy_exposure_ml_hard,strategy_exposure_ml_proba,benchmark_return,ml_hard_return,ml_proba_return,benchmark_cum,ml_hard_cum,ml_proba_cum,benchmark_drawdown,ml_hard_drawdown,ml_proba_drawdown
2021-01-05,test,-0.0009511875089005,0,2,2,0.07449315,0.00088934554,0.9246175,0.75,0.768178611385,0.75,0.757208238475,-0.0009511875089005,-0.000713390631675375,-0.000720247018073971,0.9990492647265398,0.9992868637709216,0.9992800122975487,0.0,0.0,0.0
2021-01-06,test,0.0314833149963947,2,2,2,0.0025973318,0.0020113182,0.99539137,0.75,0.74964368885,0.75,0.768178611385,0.0314833149963947,0.023612486247296026,0.024184809195727026,1.031003013053107,1.023163292676107,1.0237420209159276,0.0,0.0,0.0
2021-01-07,test,0.0042423329295163,2,2,2,0.0084572295,0.0016374401,0.9899053,0.75,0.751295564525,0.75,0.74964368885,0.0042423329295163,0.003181749697137225,0.0031802381066124256,1.0353861619003901,1.026423926682572,1.027002946814194,0.0,0.0,0.0
2021-01-08,test,0.0026081999630999,2,2,2,0.009445606,0.0016353565,0.9889191,0.75,0.7515437701250001,0.75,0.751295564525,0.0026081999630999,0.001956149972324925,0.0019595290636712235,1.038090180827799,1.0284337309167142,1.0290173619448781,0.0,0.0,0.0
2021-01-11,test,-0.0059886365516977,2,2,2,0.017200695,0.0010895691,0.9817098,0.75,0.7537554372749999,0.75,0.7515437701250001,-0.0059886365516977,-0.004491477413773275,-0.00450072249197127,1.0318920138357601,1.0238249020161594,1.0243964468878048,-0.005970740410140674,-0.004481405813524408,-0.004490609418231428
2021-01-12,test,-0.0013888921978028,2,2,2,0.06467085,0.0010624228,0.9342667,0.75,0.7656364806999999,0.75,0.7537554372749999,-0.0013888921978028,-0.0010416691483521,-0.0010468850458826852,1.0304598218791132,1.0227589704728006,1.0233245827236792,-0.007350381584961152,-0.0055178669012103665,-0.005532247979217142
2021-01-13,test,0.0018195035545821,2,0,2,0.09749309,0.00093470886,0.90157217,0.75,0.7739058947149999,0.75,0.7656364806999999,0.0018195035545821,0.001364627665936575,0.001393078298151379,1.0323364539394981,1.024155608388126,1.0247511474192883,-0.005542607949255984,-0.004159842681136894,-0.004145911121972268
2021-01-14,test,0.0013506777384324,0,2,2,0.10798552,0.0009337683,0.89108074,0.75,0.7765295170750001,0.75,0.7739058947149999,0.0013506777384324,0.0010130083038243,0.0010452974636331591,1.0337317498918739,1.0251936121883005,1.0258228772351847,-0.004198508970048698,-0.003150537201386361,-0.0031044031207168032
2021-01-15,test,-0.0170695389275313,2,2,2,0.019221416,0.0006088296,0.9801697,0.75,0.7545008984,0.75,0.7765295170750001,-0.0170695389275313,-0.012802154195648476,-0.013255000820088795,1.0162361710821897,1.0121525802485596,1.0123153133087217,-0.02105213029583064,-0.015831015824074646,-0.016231065921559318
2021-01-18,test,0.0028874167059891,2,2,2,0.065324575,0.0008729949,0.9338025,0.75,0.7658946987249999,0.75,0.7545008984,0.0028874167059891,0.0021655625294918247,0.0021785584987239447,1.0191747087295582,1.0143468349908735,1.0145231054669004,-0.018221415102064653,-0.013697426973037996,-0.01408553151191061
2021-01-19,test,-0.0067463105717455,2,0,2,0.062027354,0.0008769033,0.9370957,0.75,0.765068354825,0.75,0.7658946987249999,-0.0067463105717455,-0.005059732928809125,-0.005166963502852302,1.0123221802500026,1.0092274731322057,1.0092946209348175,-0.02482250680499476,-0.018675250730437076,-0.01916657749368189
2021-01-20,test,0.0006217860844281,0,2,2,0.43172163,0.00047587152,0.56780255,0.75,0.8576925103799999,0.75,0.765068354825,0.0006217860844281,0.000466339563321075,0.000475708856666485,1.012951823826161,1.009698225588034,1.0097748655442325,-0.02421596646024715,-0.01821751345318079,-0.018699875349310613
2021-01-21,test,-0.0100452282482707,2,2,2,0.2670767,0.0010403161,0.731883,0.75,0.816249029025,0.75,0.8576925103799999,-0.0100452282482707,-0.007533921186203026,-0.008615717033599387,1.0028274276214335,1.0021198221275933,1.0011123017199388,-0.03396887270260662,-0.025586392198227004,-0.0271181626830842
2021-01-22,test,-0.0106075438800713,2,2,2,0.30918962,0.001101596,0.68970877,0.75,0.8267465964999998,0.75,0.816249029025,-0.0106075438800713,-0.007955657910053475,-0.008658397392448279,0.9922461117821115,0.994178929035532,0.9924816911234436,-0.0441619330308376,-0.03330773860426428,-0.035505397841277264
2021-01-25,test,-0.0174603053980165,2,2,2,0.0727105,0.0005811237,0.9267084,0.75,0.767887080925,0.75,0.8267465964999998,-0.0174603053980165,-0.013095229048512375,-0.014435248061660716,0.9750715643821404,0.9812448007643138,0.9782578808217886,-0.06070630240949382,-0.04588426918897115,-0.04932810951522959
2021-01-26,test,0.0085234719224527,2,2,2,0.17038071,0.00067835115,0.8289409,0.75,0.7922559727874999,0.75,0.767887080925,0.0085234719224527,0.006392603941839525,0.006545063973878403,0.9834180795967381,0.9875376024100933,0.9846816402612995,-0.052666042161639504,-0.03976544844573249,-0.04308549430087616
2021-01-27,test,-0.0141869295205548,2,2,2,0.07316758,0.0006395145,0.92619294,0.75,0.767972163625,0.75,0.7922559727874999,-0.0141869295205548,-0.0106401971404161,-0.011239679648174843,0.9695648960322443,0.977085711335639,0.9736760993076143,-0.06601091702929973,-0.04992836975047976,-0.0537806889211927
2021-01-28,test,0.0101107979012053,2,2,2,0.21363069,0.00084586604,0.7855234,0.75,0.8029847065100001,0.75,0.767972163625,0.0101107979012053,0.007583098425903975,0.0077648113401637435,0.979417696649975,0.9845232124667134,0.9812659392286749,-0.05651964083798289,-0.04269649772266837,-0.046404875643644594
