date,sample_split_robust,ret_1d,regime,regime_t_plus_1,regime_pred,proba_0,proba_1,proba_2,target_exposure_ml_hard,target_exposure_ml_proba,strategy_exposure_ml_hard,strategy_exposure_ml_proba,benchmark_return,ml_hard_return,ml_proba_return,benchmark_cum,ml_hard_cum,ml_proba_cum,benchmark_drawdown,ml_hard_drawdown,ml_proba_drawdown
2020-01-03,test,-0.0046127962303675,0,0,0,0.9909377,0.0089080855,0.00015414611,1.0,0.9963487521103058,1.0,0.9942471038494874,-0.0046127962303675,-0.0046127962303675,-0.00458625929269072,0.9953978263745833,0.9953978263745833,0.9954242415351526,0.0,0.0,0.0
2020-01-06,test,-0.0047485964019479,0,0,0,0.9908681,0.008887244,0.0002447123,1.0,0.9963018227979865,1.0,0.9963487521103058,-0.0047485964019479,-0.0047485964019479,-0.004731258099356279,0.990682288791106,0.990682288791106,0.9907257561681202,-0.004737339643037131,-0.004737339643037131,-0.004720083328276559
2020-01-07,test,-0.0022001902156519,0,0,0,0.99397475,0.005798699,0.00022655197,1.0,0.9975461030984619,1.0,0.9963018227979865,-0.0022001902156519,-0.0022001902156519,-0.002192053522356283,0.9885049954206001,0.9885049954206001,0.988556410813845,-0.006924699623956476,-0.006924699623956476,-0.006899400712520265
2020-01-08,test,0.0012102098183916,0,0,0,0.992151,0.0075654453,0.0002835408,1.0,0.996805795074323,1.0,0.9975461030984619,0.0012102098183916,0.0012102098183916,0.001207240088268038,0.9897020180497592,0.9897020180497592,0.9897505564076782,-0.00572214261866455,-0.00572214261866455,-0.005699765879444985
2020-01-09,test,-0.0010014589783746,0,0,0,0.99149656,0.008237058,0.00026638736,1.0,0.9965481329888621,1.0,0.996805795074323,-0.0010014589783746,-0.0010014589783746,-0.0009982601131730124,0.9887113682082521,0.9887113682082521,0.98876302089589,-0.006717372681719125,-0.006717372681719125,-0.0066918408868460455
2020-01-10,test,-0.0008561759153297,0,0,0,0.99186933,0.0078613795,0.00026929035,1.0,0.9966963579358016,1.0,0.9965481329888621,-0.0008561759153297,-0.0008561759153297,-0.0008532205099318426,0.9878652196252865,0.9878652196252865,0.9879197478071043,-0.007567433391663991,-0.007567433391663991,-0.00753899032685279
2020-01-13,test,-0.003107021591943,0,0,0,0.98969287,0.009929137,0.0003779983,1.0,0.9958042556611391,1.0,0.9966963579358016,-0.003107021591943,-0.003107021591943,-0.0030967571047174846,0.9848006643430249,0.9848006643430249,0.9848651324512169,-0.0106461574968022,-0.0106461574968022,-0.010607647115014385
2020-01-14,test,-0.0016359506776465,0,0,0,0.9871869,0.012422738,0.00039030128,1.0,0.994800991880818,1.0,0.9958042556611391,-0.0016359506776465,-0.0016359506776465,-0.001629086646852109,0.9831908961385619,0.9831908961385619,0.9832620079838693,-0.01226336838656883,-0.01226336838656883,-0.01221814081253092
2020-01-15,test,-0.0017436568887293,0,0,0,0.98986036,0.0097572,0.00038251944,1.0,0.9958702184808704,1.0,0.994800991880818,-0.0017436568887293,-0.0017436568887293,-0.0017345916024077287,0.9814780423082358,0.9814780423082358,0.9815579283302531,-0.013984141513595505,-0.013984141513595505,-0.013930053766336603
2020-01-16,test,0.0063717640527732,0,0,0,0.99191076,0.007673925,0.00041532583,1.0,0.9966819259926789,1.0,0.9958702184808704,0.0063717640527732,0.0063717640527732,0.006345450059343803,0.987751754899263,0.987751754899263,0.9878061580945269,-0.007681422716351083,-0.007681422716351083,-0.007653102187743621
2020-01-17,test,0.0113017652485275,0,0,0,0.9903572,0.009299264,0.00034355474,1.0,0.9960768326160583,1.0,0.9966819259926789,0.0113017652485275,0.0113017652485275,0.011264265155019517,0.9989784143939379,0.9989784143939379,0.9989959727841021,0.0,0.0,0.0
2020-01-20,test,-0.0023267729334861,0,0,0,0.9904143,0.009288721,0.00029700654,1.0,0.9961095126139108,1.0,0.9960768326160583,-0.0023267729334861,-0.0023267729334861,-0.002317644613803609,0.9966567205328533,0.9966567205328533,0.9966833361187125,-0.002324068095598597,-0.002324068095598597,-0.002314960949186373
2020-01-21,test,-0.0049299274178027,0,0,0,0.9910198,0.008668027,0.00031217042,1.0,0.9963480489017671,1.0,0.9961095126139108,-0.0049299274178027,-0.0049299274178027,-0.004910747597369403,0.9917553668261189,0.9917553668261189,0.9918008739022194,-0.007230434075195746,-0.007230434075195746,-0.00720233021743899
2020-01-22,test,-0.0039196932514991,0,0,0,0.9917645,0.007896825,0.00033866093,1.0,0.996639774915469,1.0,0.9963480489017671,-0.0039196932514991,-0.0039196932514991,-0.003905378723424552,0.987875598725447,0.987875598725447,0.9879350694999692,-0.011114169744324998,-0.011114169744324998,-0.011072019893440865
