date,sample_split_main,sample_split_robust,ret_1d,ewma_vol,cvar_95_60d,p_regime_0,p_regime_1,p_regime_2,regime,target_exposure,strategy_exposure,benchmark_return,strategy_return,benchmark_cum,strategy_cum,target_exposure_alt,strategy_exposure_alt,strategy_return_alt,strategy_cum_alt
2020-01-03,train,test,-0.0046127962303675,0.0077548027198904,-0.0152170447065796,0.9106395399946796,0.0884583093138204,0.0009021506915001,0,1.0,1.0,-0.0046127962303675,-0.0046127962303675,0.9953978263745833,0.9953978263745833,1.0,1.0,-0.0046127962303675,0.9953978263745833
2020-01-06,train,test,-0.0047485964019479,0.0076080021936294,-0.0152170447065796,0.9263550631496128,0.0729619346127437,0.0006830022376433,0,1.0,1.0,-0.0047485964019479,-0.0047485964019479,0.990682288791106,0.990682288791106,1.0,1.0,-0.0047485964019479,0.990682288791106
2020-01-07,train,test,-0.0022001902156519,0.0073958938442001,-0.0152170447065796,0.9462403934824049,0.0533057888999899,0.000453817617605,0,1.0,1.0,-0.0022001902156519,-0.0022001902156519,0.9885049954206001,0.9885049954206001,1.0,1.0,-0.0022001902156519,0.9885049954206001
2020-01-08,train,test,0.0012102098183916,0.0071767100734019,-0.0152170447065796,0.9614022545808636,0.038298339799619,0.0002994056195174,0,1.0,1.0,0.0012102098183916,0.0012102098183916,0.9897020180497592,0.9897020180497592,1.0,1.0,0.0012102098183916,0.9897020180497592
2020-01-09,train,test,-0.0010014589783746,0.0069624013554326,-0.0152170447065796,0.968457229116704,0.0313166546092282,0.0002261162740678,0,1.0,1.0,-0.0010014589783746,-0.0010014589783746,0.9887113682082521,0.9887113682082521,1.0,1.0,-0.0010014589783746,0.9887113682082521
2020-01-10,train,test,-0.0008561759153297,0.0067535555752479,-0.0152170447065796,0.9724992269429096,0.0273148609437162,0.0001859121133734,0,1.0,1.0,-0.0008561759153297,-0.0008561759153297,0.9878652196252865,0.9878652196252865,1.0,1.0,-0.0008561759153297,0.9878652196252865
2020-01-13,train,test,-0.003107021591943,0.0065918963222924,-0.0152170447065796,0.9721295749746536,0.0276862373218574,0.0001841877034889,0,1.0,1.0,-0.003107021591943,-0.003107021591943,0.9848006643430249,0.9848006643430249,1.0,1.0,-0.003107021591943,0.9848006643430249
2020-01-14,train,test,-0.0016359506776465,0.0064036311084885,-0.0152170447065796,0.973833898755665,0.0259963908412757,0.0001697104030592,0,1.0,1.0,-0.0016359506776465,-0.0016359506776465,0.9831908961385619,0.9831908961385619,1.0,1.0,-0.0016359506776465,0.9831908961385619
2020-01-15,train,test,-0.0017436568887293,0.0062232244256433,-0.0152170447065796,0.9746877081869658,0.0251505191115166,0.0001617727015177,0,1.0,1.0,-0.0017436568887293,-0.0017436568887293,0.9814780423082358,0.9814780423082358,1.0,1.0,-0.0017436568887293,0.9814780423082358
2020-01-16,train,test,0.0063717640527732,0.0062322366406821,-0.0152170447065796,0.9728415187280892,0.0269737519440007,0.00018472932791,0,1.0,1.0,0.0063717640527732,0.0063717640527732,0.987751754899263,0.987751754899263,1.0,1.0,0.0063717640527732,0.987751754899263
