regime,n_obs,mean_ret_1d,mean_ewma_vol,mean_cvar_95_60d,frequency_pct,n_blocks,mean_duration,median_duration,max_duration
0,2025,0.0005733572310938302,0.008138664330691448,-0.018436212415759167,40.362766593581824,131,15.458015267175572,4.0,273
1,2388,-0.0005524105937901943,0.014086982942152083,-0.030690811441048214,47.598166234801674,184,12.978260869565217,5.0,99
2,604,-0.00013865858615421018,0.024978988941143344,-0.04744760824690676,12.039067171616503,54,11.185185185185185,6.0,73
