date,ibex_close,ret_1d
2002-01-03,8554.69140625,0.02097913821160928
2002-01-04,8463.0908203125,-0.010765382865453116
2002-01-07,8177.29150390625,-0.034353468293355637
2002-01-08,8186.591796875,0.0011366854430792674
2002-01-09,8066.091796875,-0.01482859213129061
2002-01-10,7935.39208984375,-0.016336311638532424
2002-01-11,7983.091796875,0.005993014176061711
2002-01-14,7800.2919921875,-0.02316461175168247
2002-01-15,7948.6923828125,0.01884626709781502
2002-01-16,7804.09228515625,-0.018359186931582307
2002-01-17,7977.49169921875,0.021975790588645915
2002-01-18,8008.79150390625,0.003915837632194832
2002-01-21,7902.4921875,-0.013361699781836643
2002-01-22,8033.091796875,0.016391308101491302
2002-01-23,8078.29150390625,0.00561091804102746
2002-01-24,8213.291015625,0.0165732950270846
2002-01-25,8184.99169921875,-0.0034515009885079514
2002-01-28,8273.0908203125,0.010705981388369253
2002-01-29,8178.3916015625,-0.01151267250998493
2002-01-30,8019.69189453125,-0.019595501555703616
2002-01-31,8050.3916015625,0.0038207324043944353
2002-02-01,8171.091796875,0.014881798407870638
2002-02-04,8014.29150390625,-0.019376148926368
2002-02-05,7852.6923828125,-0.020369934192824388
2002-02-06,7708.09228515625,-0.018585728566233663
2002-02-07,7872.39208984375,0.021091243544049638
2002-02-08,7829.7919921875,-0.005426022514064815
2002-02-11,7819.6923828125,-0.0012907276093105514
2002-02-12,7787.7919921875,-0.004087838152636342
2002-02-13,7867.1923828125,0.010143871059563787
2002-02-14,8021.3916015625,0.019410673776330038
2002-02-15,7920.39208984375,-0.0126712123361536
2002-02-18,7832.39208984375,-0.011172744375328812
2002-02-19,7708.59228515625,-0.015932378602890557
2002-02-20,7716.39208984375,0.0010113210052809553
2002-02-21,7736.4921875,0.0026014702021139795
2002-02-22,7662.39208984375,-0.009624160851868943
2002-02-25,7775.09228515625,0.014601109196681014
2002-02-26,7846.9921875,0.009204970073096484
2002-02-27,8101.3916015625,0.03190555204261771
2002-02-28,8135.49169921875,0.004200331696620077
2002-03-01,8230.69140625,0.011633840359584034
2002-03-04,8384.9912109375,0.018573325445645935
2002-03-05,8307.19140625,-0.009321772933077304
2002-03-06,8320.4912109375,0.001599718713664493
2002-03-07,8382.19140625,0.007388091766990791
2002-03-08,8369.69140625,-0.0014923698380505447
2002-03-11,8317.8916015625,-0.006208205350610358
